year,direction,family,state,tail,n,flagged,symbols,exchanges,loser_rejection,winner_sacrifice,selective_efficiency,TP1,TP1_rate,Loss,Full_Stop,Avg_R,Net
2023,LONG,compression,MILD_COMPRESSION,LOSER,1,30,29,1,0.6666666666666666,0.6666666666666666,0.0,6,20.0,24,23,-0.08075998034205473,-25.67478985616266
2023,LONG,compression,MILD_COMPRESSION,LOSER,3,29,28,1,0.6764705882352942,0.6666666666666666,0.009803921568627527,6,20.689655172413794,23,22,-0.0403719436821854,-13.425023228545442
2023,LONG,compression,MILD_COMPRESSION,LOSER,5,28,28,1,0.6875,0.6666666666666666,0.02083333333333337,6,21.428571428571427,22,21,0.0010430387974900463,-1.6809765495664806
2023,LONG,compression,NO_COMPRESSION,NONE,0,1,1,1,0.02702702702702703,0.0,0.02702702702702703,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,WINNER,1,1,1,1,0.02702702702702703,0.0,0.02702702702702703,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,WINNER,3,1,1,1,0.02702702702702703,0.0,0.02702702702702703,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,WINNER,5,1,1,1,0.02702702702702703,0.0,0.02702702702702703,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,LOSER,1,1,1,1,0.027777777777777776,0.0,0.027777777777777776,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,LOSER,3,1,1,1,0.029411764705882353,0.0,0.029411764705882353,0,0.0,1,1,-1.147500904538845,-11.707722347848982
2023,LONG,compression,NO_COMPRESSION,LOSER,5,0,0,0,0.0,0.0,0.0,0,,0,0,,0.0
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,NONE,0,2,2,1,0.05405405405405406,0.0,0.05405405405405406,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,1,2,2,1,0.05405405405405406,0.0,0.05405405405405406,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,3,2,2,1,0.05405405405405406,0.0,0.05405405405405406,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,WINNER,5,2,2,1,0.05405405405405406,0.0,0.05405405405405406,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,1,2,2,1,0.05555555555555555,0.0,0.05555555555555555,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,3,2,2,1,0.058823529411764705,0.0,0.058823529411764705,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,EXHAUSTED_HIGH_VOLUME,LOSER,5,2,2,1,0.0625,0.0,0.0625,0,0.0,2,2,-1.0622516671897357,-21.586688281376077
2023,LONG,volume_state,FLAT,NONE,0,7,7,1,0.10810810810810811,0.3333333333333333,-0.2252252252252252,3,42.857142857142854,4,3,1.2566120884269354,81.68549992220119
2023,LONG,volume_state,FLAT,WINNER,1,6,6,1,0.10810810810810811,0.25,-0.14189189189189189,2,33.33333333333333,4,3,0.6932364404343022,35.32397154597441
2023,LONG,volume_state,FLAT,WINNER,3,6,6,1,0.10810810810810811,0.3333333333333333,-0.2252252252252252,2,33.33333333333333,4,3,0.6932364404343022,35.32397154597441
2023,LONG,volume_state,FLAT,WINNER,5,4,4,1,0.10810810810810811,0.0,0.10810810810810811,0,0.0,4,3,-0.8091988989450454,-30.592169243398523
2023,LONG,volume_state,FLAT,LOSER,1,7,7,1,0.1111111111111111,0.3333333333333333,-0.2222222222222222,3,42.857142857142854,4,3,1.2566120884269354,81.68549992220119
2023,LONG,volume_state,FLAT,LOSER,3,7,7,1,0.11764705882352941,0.3333333333333333,-0.2156862745098039,3,42.857142857142854,4,3,1.2566120884269354,81.68549992220119
